Player,Season,AGE,Pos_C,Pos_LW,Pos_RW,Pos_D,GP,G,A,PTS,PPG,PlusMinus,ATOI,TOI(EV),PIM,PS,EV_A,PP_A,SH_A,GW,S,S_Pct,BLK,HIT,FOW,FOL,FO_Pct,CF,CA,CF_Pct,CF_Pct_rel,FF,FA,FF_Pct,FF_Pct_rel,oiSH_Pct,oiSV_Pct,PDO,oZS_Pct,dZS_Pct,TK,GV,SAtt.,Thru_Pct,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct,LENGTH,AAV
Wayne Simmonds,2021,32.0,0,1,1,0,61.66666666666666,10.666666666666666,10.666666666666666,21.33333333333333,0.3459459459459459,-13.333333333333334,14.188888888888888,12.458333333333334,70.0,1.1666666666666667,6.333333333333333,4.333333333333333,0.0,1.0,112.66666666666669,9.6,24.0,115.33333333333331,13.0,21.33333333333333,37.56666666666667,670.6666666666666,716.3333333333334,48.9,-0.5333333333333333,499.3333333333333,519.0,49.833333333333336,-0.0666666666666666,6.5,91.73333333333332,98.23333333333332,49.3,50.7,22.33333333333333,25.0,231.5,59.56666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,2,900000.0
Ryan Nugent-Hopkins,2021,28.0,1,1,0,0,66.33333333333333,22.0,33.0,55.0,0.8291457286432161,-5.333333333333333,20.444444444444443,15.041666666666666,27.0,5.433333333333334,13.666666666666666,8.0,0.3333333333333333,3.0,171.66666666666666,12.733333333333334,37.66666666666666,42.66666666666666,219.0,249.0,47.13333333333333,893.0,966.3333333333334,48.6,0.5,667.6666666666666,718.0,48.7,0.3666666666666667,9.733333333333333,90.6,100.3,53.9,46.1,45.0,42.66666666666666,330.5,56.833333333333336,3.0,1.0,2.0,16.666666666666668,8,5125000.0
Trent Frederic,2021,23.0,1,1,0,0,19.666666666666668,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.0847457627118644,-4.333333333333333,9.02777777777778,7.691666666666666,26.666666666666668,-0.2,1.3333333333333333,0.0,0.0,1.0,21.33333333333333,3.033333333333333,6.0,29.0,26.0,24.33333333333333,34.5,150.66666666666666,171.33333333333334,35.2,-16.400000000000002,113.33333333333331,124.0,34.36666666666667,-19.3,1.4666666666666668,91.23333333333336,63.06666666666666,49.4,50.6,4.666666666666667,3.0,12.5,79.3,0.0,0.0,0.0,0.0,2,1050000.0
Blake Lizotte,2021,23.0,1,0,0,0,35.666666666666664,3.0,8.0,11.0,0.308411214953271,-1.0,12.622222222222222,11.516666666666666,12.0,0.6999999999999998,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.0,43.333333333333336,4.666666666666667,14.666666666666666,24.666666666666668,165.33333333333334,162.66666666666666,50.333333333333336,402.0,348.3333333333333,56.5,10.633333333333333,302.6666666666667,257.6666666666667,56.63333333333333,11.666666666666666,4.633333333333333,87.76666666666667,92.36666666666667,45.93333333333334,54.06666666666666,9.666666666666666,9.0,80.0,53.2,0.0,0.0,0.0,0.0,1,800000.0
Matt Nieto,2021,28.0,0,1,1,0,54.0,5.666666666666667,11.333333333333334,17.0,0.3148148148148148,1.3333333333333333,13.755555555555556,10.966666666666669,6.0,1.0666666666666669,4.666666666666667,0.0,1.0,1.3333333333333333,72.0,8.4,22.666666666666668,37.333333333333336,5.0,4.666666666666667,50.0,570.6666666666666,568.3333333333334,49.0,-0.8000000000000002,420.0,414.6666666666667,49.333333333333336,-0.7333333333333333,8.033333333333333,91.46666666666664,99.5,43.26666666666667,56.73333333333333,15.0,11.0,139.5,66.7,0.0,0.0,0.0,0.0,2,850000.0
Blake Comeau,2021,35.0,0,1,1,0,61.0,6.333333333333333,9.666666666666666,16.0,0.2622950819672131,-8.666666666666666,15.466666666666669,13.041666666666668,38.333333333333336,0.6000000000000001,6.0,0.0,0.3333333333333333,1.3333333333333333,84.0,7.666666666666667,27.33333333333333,140.33333333333334,40.0,47.66666666666666,45.3,695.3333333333334,735.0,48.93333333333334,-1.7666666666666666,498.6666666666667,537.3333333333334,48.333333333333336,-2.4333333333333336,5.9,91.3,97.23333333333332,33.800000000000004,66.2,27.0,26.666666666666668,149.5,58.4,0.0,0.0,0.0,0.0,1,1000000.0
Kevin Stenlund,2021,24.0,1,0,1,0,22.666666666666668,3.6666666666666665,3.0,6.666666666666667,0.2941176470588235,-0.6666666666666666,12.494444444444444,11.383333333333333,6.666666666666667,0.6,2.6666666666666665,1.0,0.0,0.6666666666666666,34.0,7.466666666666666,12.0,13.0,52.66666666666666,65.0,45.833333333333336,218.66666666666663,235.0,48.73333333333333,1.0333333333333332,163.33333333333334,172.66666666666666,49.833333333333336,0.4333333333333333,5.8,94.16666666666669,99.93333333333334,51.5,48.5,5.0,6.0,54.5,48.76666666666667,0.6666666666666666,0.0,0.6666666666666666,0.0,1,1050000.0
Jason Spezza,2021,38.0,1,0,1,0,62.66666666666666,9.0,18.33333333333333,27.33333333333333,0.4361702127659574,-4.333333333333333,11.71111111111111,10.216666666666669,17.666666666666668,2.266666666666667,7.333333333333333,1.6666666666666667,0.0,1.0,91.66666666666669,10.4,19.666666666666668,18.33333333333333,320.0,242.66666666666663,56.36666666666667,580.0,562.3333333333334,50.833333333333336,0.5333333333333333,428.6666666666667,421.0,50.56666666666666,0.0,9.0,90.76666666666668,99.8,53.5,46.5,20.33333333333333,38.0,173.5,56.76666666666667,2.0,1.0,1.0,50.0,1,750000.0
Nathan Bastian,2021,23.0,1,0,1,0,24.0,3.0,3.5,6.5,0.2708333333333333,0.0,12.65,10.9,15.5,0.45,3.0,0.0,0.0,0.0,29.5,14.8,13.0,80.0,7.5,10.5,68.2,223.0,229.0,50.85,1.0499999999999998,170.0,176.5,50.3,1.75,8.45,91.3,99.75,38.1,61.9,6.0,3.0,18.0,67.2,0.0,0.0,0.0,0.0,2,825000.0
Devin Shore,2021,26.0,1,1,1,0,53.0,6.666666666666667,10.0,16.666666666666668,0.3144654088050315,-8.666666666666666,12.27777777777778,11.141666666666666,9.0,1.0666666666666669,5.0,0.6666666666666666,1.0,2.0,53.0,13.566666666666668,34.666666666666664,73.0,63.333333333333336,75.66666666666667,46.96666666666667,477.6666666666667,598.3333333333334,43.26666666666667,-5.1000000000000005,358.6666666666667,439.3333333333333,44.0,-4.6000000000000005,8.1,90.96666666666664,99.1,42.3,57.7,18.666666666666668,12.666666666666666,120.5,60.46666666666667,0.0,0.0,0.0,0.0,2,850000.0
Ryan Lindgren,2021,23.0,0,0,0,1,38.66666666666666,0.6666666666666666,9.333333333333334,10.0,0.2586206896551724,10.0,17.05,14.1,30.0,2.266666666666667,0.6666666666666666,0.0,0.0,0.0,40.0,1.2,43.0,67.66666666666667,0.0,0.0,0.0,499.3333333333333,533.3333333333334,46.26666666666667,2.0666666666666664,374.6666666666667,396.0,46.8,1.2333333333333334,8.966666666666667,88.03333333333335,96.93333333333334,56.06666666666666,43.93333333333334,15.666666666666666,17.333333333333332,50.5,63.46666666666667,0.0,0.0,0.0,0.0,3,3000000.0
Riley Stillman,2021,23.0,0,0,0,1,18.666666666666668,0.3333333333333333,1.6666666666666667,2.0,0.1071428571428571,0.6666666666666666,15.283333333333331,14.008333333333333,10.666666666666666,0.5,0.3333333333333333,0.0,0.0,0.0,23.0,1.1333333333333333,28.666666666666668,38.333333333333336,0.0,0.0,0.0,255.0,281.6666666666667,56.4,9.433333333333334,191.0,210.0,53.03333333333333,6.666666666666667,10.833333333333334,83.76666666666667,94.6,40.03333333333333,59.96666666666667,6.0,15.0,42.5,49.9,0.0,0.0,0.0,0.0,3,1350000.0
Ryan Hartman,2021,26.0,1,0,1,0,67.66666666666667,9.333333333333334,13.333333333333334,22.666666666666668,0.334975369458128,1.6666666666666667,13.47777777777778,11.666666666666666,58.66666666666666,1.7666666666666668,8.666666666666666,0.3333333333333333,0.3333333333333333,1.6666666666666667,111.0,8.566666666666668,42.0,68.66666666666667,95.0,120.0,40.36666666666667,738.6666666666666,745.3333333333334,49.36666666666667,0.3666666666666667,552.3333333333334,565.3333333333334,49.23333333333333,-0.3333333333333333,9.233333333333334,91.26666666666668,100.46666666666664,43.7,56.3,30.0,27.0,217.0,57.7,0.6666666666666666,0.0,0.6666666666666666,0.0,3,1700000.0
