,Player,Season,AGE,Pos_C,Pos_LW,Pos_RW,Pos_D,Pos_G,GP,G,A,PTS,PlusMinus,ATOI,TOI(EV),PIM,PS,EV_A,PP_A,SH_A,GW,S,S_Pct,BLK,HIT,FOW,FOL,FO_Pct,CF,CA,CF_Pct,CF_Pct_rel,FF,FA,FF_Pct,FF_Pct_rel,oiSH_Pct,oiSV_Pct,PDO,oZS_Pct,dZS_Pct,TK,GV,SAtt.,Thru_Pct,SOT_Att,SOT_Scored,SOT_Saved,SOT_Pct,GS,W,L,TplusOTL,GA,SA,SV,SV_Pct,GAA,SUT,GPS,MIN,QS,RBS,TYPE,LENGTH,AAV
0,Wayne Simmonds,2021,32,0,1,1,0,0,61.666666666666664,10.666666666666666,10.666666666666666,21.333333333333332,-13.333333333333334,14.188888888888888,12.458333333333334,70.0,1.1666666666666667,6.333333333333333,4.333333333333333,0.0,1.0,112.66666666666667,9.6,24.0,115.33333333333333,13.0,21.333333333333332,37.56666666666667,670.6666666666666,716.3333333333334,48.9,-0.5333333333333333,499.3333333333333,519.0,49.833333333333336,-0.06666666666666667,6.5,91.73333333333333,98.23333333333333,49.300000000000004,50.699999999999996,22.333333333333332,25.0,231.5,59.56666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,,,,,,,,,,,,,,,Standard,2,900000
1,Ryan Nugent-Hopkins,2021,28,1,1,0,0,0,66.33333333333333,22.0,33.0,55.0,-5.333333333333333,20.444444444444443,15.041666666666666,27.0,5.433333333333334,13.666666666666666,8.0,0.3333333333333333,3.0,171.66666666666666,12.733333333333334,37.666666666666664,42.666666666666664,219.0,249.0,47.13333333333333,893.0,966.3333333333334,48.6,0.5,667.6666666666666,718.0,48.699999999999996,0.3666666666666667,9.733333333333333,90.60000000000001,100.3,53.9,46.1,45.0,42.666666666666664,330.5,56.833333333333336,3.0,1.0,2.0,16.666666666666668,,,,,,,,,,,,,,,Standard,8,5125000
2,Trent Frederic,2021,23,1,1,0,0,0,19.666666666666668,1.3333333333333333,0.3333333333333333,1.6666666666666667,-4.333333333333333,9.027777777777779,7.691666666666666,26.666666666666668,-0.19999999999999998,1.3333333333333333,0.0,0.0,1.0,21.333333333333332,3.033333333333333,6.0,29.0,26.0,24.333333333333332,34.5,150.66666666666666,171.33333333333334,35.199999999999996,-16.400000000000002,113.33333333333333,124.0,34.36666666666667,-19.3,1.4666666666666668,91.23333333333335,63.06666666666666,49.4,50.6,4.666666666666667,3.0,12.5,79.3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,2,1050000
3,Blake Lizotte,2021,23,1,0,0,0,0,35.666666666666664,3.0,8.0,11.0,-1.0,12.62222222222222,11.516666666666666,12.0,0.6999999999999998,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.0,43.333333333333336,4.666666666666667,14.666666666666666,24.666666666666668,165.33333333333334,162.66666666666666,50.333333333333336,402.0,348.3333333333333,56.5,10.633333333333333,302.6666666666667,257.6666666666667,56.63333333333333,11.666666666666666,4.633333333333333,87.76666666666667,92.36666666666667,45.93333333333334,54.06666666666666,9.666666666666666,9.0,80.0,53.199999999999996,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,1,800000
4,Matt Nieto,2021,28,0,1,1,0,0,54.0,5.666666666666667,11.333333333333334,17.0,1.3333333333333333,13.755555555555555,10.966666666666667,6.0,1.0666666666666667,4.666666666666667,0.0,1.0,1.3333333333333333,72.0,8.4,22.666666666666668,37.333333333333336,5.0,4.666666666666667,50.0,570.6666666666666,568.3333333333334,49.0,-0.8000000000000002,420.0,414.6666666666667,49.333333333333336,-0.7333333333333333,8.033333333333333,91.46666666666665,99.5,43.26666666666667,56.73333333333333,15.0,11.0,139.5,66.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,2,850000
5,Blake Comeau,2021,35,0,1,1,0,0,61.0,6.333333333333333,9.666666666666666,16.0,-8.666666666666666,15.466666666666667,13.041666666666668,38.333333333333336,0.6000000000000001,6.0,0.0,0.3333333333333333,1.3333333333333333,84.0,7.666666666666668,27.333333333333332,140.33333333333334,40.0,47.666666666666664,45.29999999999999,695.3333333333334,735.0,48.93333333333333,-1.7666666666666666,498.6666666666667,537.3333333333334,48.333333333333336,-2.4333333333333336,5.8999999999999995,91.3,97.23333333333333,33.800000000000004,66.2,27.0,26.666666666666668,149.5,58.4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,35+,1,1000000
6,Kevin Stenlund,2021,24,1,0,1,0,0,22.666666666666668,3.6666666666666665,3.0,6.666666666666667,-0.6666666666666666,12.494444444444445,11.383333333333333,6.666666666666667,0.6,2.6666666666666665,1.0,0.0,0.6666666666666666,34.0,7.466666666666666,12.0,13.0,52.666666666666664,65.0,45.833333333333336,218.66666666666666,235.0,48.73333333333333,1.0333333333333332,163.33333333333334,172.66666666666666,49.833333333333336,0.43333333333333335,5.8,94.16666666666667,99.93333333333334,51.5,48.5,5.0,6.0,54.5,48.76666666666667,0.6666666666666666,0.0,0.6666666666666666,0.0,,,,,,,,,,,,,,,Standard,1,1050000
7,Jason Spezza,2021,38,1,0,1,0,0,62.666666666666664,9.0,18.333333333333332,27.333333333333332,-4.333333333333333,11.71111111111111,10.216666666666667,17.666666666666668,2.2666666666666666,7.333333333333333,1.6666666666666667,0.0,1.0,91.66666666666667,10.4,19.666666666666668,18.333333333333332,320.0,242.66666666666666,56.36666666666667,580.0,562.3333333333334,50.833333333333336,0.5333333333333333,428.6666666666667,421.0,50.56666666666666,0.0,9.0,90.76666666666665,99.80000000000001,53.5,46.5,20.333333333333332,38.0,173.5,56.76666666666667,2.0,1.0,1.0,50.0,,,,,,,,,,,,,,,35+,1,750000
8,Nathan Bastian,2021,23,1,0,1,0,0,24.0,3.0,3.5,6.5,0.0,12.65,10.9,15.5,0.45,3.0,0.0,0.0,0.0,29.5,14.8,13.0,80.0,7.5,10.5,68.2,223.0,229.0,50.85,1.0499999999999998,170.0,176.5,50.3,1.75,8.45,91.30000000000001,99.75,38.099999999999994,61.9,6.0,3.0,18.0,67.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,2,825000
9,Devin Shore,2021,26,1,1,1,0,0,53.0,6.666666666666667,10.0,16.666666666666668,-8.666666666666666,12.277777777777779,11.141666666666666,9.0,1.0666666666666667,5.0,0.6666666666666666,1.0,2.0,53.0,13.566666666666668,34.666666666666664,73.0,63.333333333333336,75.66666666666667,46.96666666666666,477.6666666666667,598.3333333333334,43.26666666666667,-5.1000000000000005,358.6666666666667,439.3333333333333,44.0,-4.6000000000000005,8.1,90.96666666666668,99.09999999999998,42.300000000000004,57.699999999999996,18.666666666666668,12.666666666666666,120.5,60.46666666666667,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,Standard,2,850000
